date,fuel_type,price,data_file
2012-05-04,DIESEL,1.046,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_04_05_2012.pdf
2012-06-08,DIESEL,1.86,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_08_06_2012.pdf
2012-06-15,DIESEL,1.509,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_15_06_2012.pdf
2012-06-22,DIESEL,1.494,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_22_06_2012.pdf
2012-06-29,DIESEL,1.477,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_29_06_2012.pdf
2012-07-06,DIESEL,1.484,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_06_07_2012.pdf
2012-07-13,DIESEL,1.504,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_13_07_2012.pdf
2012-07-20,DIESEL,1.523,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_20_07_2012.pdf
2012-07-27,DIESEL,1.553,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_27_07_2012.pdf
2012-08-03,DIESEL,1.558,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_03_08_2012.pdf
2012-08-10,DIESEL,1.565,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_10_08_2012.pdf
2012-08-17,DIESEL,1.583,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_17_08_2012.pdf
2012-08-24,DIESEL,1.601,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_24_08_2012.pdf
2012-08-31,DIESEL,1.605,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_31_08_2012.pdf
2012-09-07,DIESEL,1.609,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_07_09_2012.pdf
2012-09-14,DIESEL,1.606,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_14_09_2012.pdf
2012-09-21,DIESEL,1.594,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_21_09_2012.pdf
2012-09-28,DIESEL,1.573,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_28_09_2012.pdf
2012-10-05,DIESEL,1.574,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_05_10_2012.pdf
2012-10-12,DIESEL,1.575,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_12_10_2012.pdf
2012-10-19,DIESEL,1.527,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_19_10_2012.pdf
2012-10-26,DIESEL,1.487,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_26_10_2012.pdf
2012-11-02,DIESEL,1.459,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_02_11_2012.pdf
2012-11-09,DIESEL,1.443,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_09_11_2012.pdf
2012-11-16,DIESEL,1.439,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_16_11_2012.pdf
2012-11-23,DIESEL,1.438,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_23_11_2012.pdf
2012-11-30,DIESEL,1.438,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_30_11_2012.pdf
2012-12-07,DIESEL,1.438,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_07_12_2012.pdf
2012-12-14,DIESEL,1.421,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_14_12_2012.pdf
2012-12-21,DIESEL,1.414,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_21_12_2012.pdf
2012-12-28,DIESEL,1.412,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_28_12_2012.pdf
2012-10-19,DIESEL_HEATING,0.881,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_19_10_2012.pdf
2012-10-26,DIESEL_HEATING,0.884,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_26_10_2012.pdf
2012-11-16,DIESEL_HEATING,0.995,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_16_11_2012.pdf
2012-11-23,DIESEL_HEATING,0.996,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_23_11_2012.pdf
2012-11-30,DIESEL_HEATING,0.995,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_30_11_2012.pdf
2012-12-21,DIESEL_HEATING,0.992,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_21_12_2012.pdf
2012-12-28,DIESEL_HEATING,0.97,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_28_12_2012.pdf
2012-05-04,GAS,1.893,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_04_05_2012.pdf
2012-06-08,GAS,0.84,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_08_06_2012.pdf
2012-06-15,GAS,0.793,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_15_06_2012.pdf
2012-06-22,GAS,0.785,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_22_06_2012.pdf
2012-06-29,GAS,0.778,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_29_06_2012.pdf
2012-07-06,GAS,0.778,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_06_07_2012.pdf
2012-07-13,GAS,0.789,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_13_07_2012.pdf
2012-07-20,GAS,0.819,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_20_07_2012.pdf
2012-07-27,GAS,0.842,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_27_07_2012.pdf
2012-08-03,GAS,0.85,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_03_08_2012.pdf
