date,fuel_type,price,data_file
2012-05-04,DIESEL,1.078,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_04_05_2012.pdf
2012-10-26,DIESEL,1.554,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_26_10_2012.pdf
2012-11-02,DIESEL,1.535,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_02_11_2012.pdf
2012-11-09,DIESEL,1.508,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_09_11_2012.pdf
2012-11-16,DIESEL,1.503,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_16_11_2012.pdf
2012-11-23,DIESEL,1.502,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_23_11_2012.pdf
2012-12-07,DIESEL,1.501,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_07_12_2012.pdf
2012-12-14,DIESEL,1.495,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_14_12_2012.pdf
2012-12-21,DIESEL,1.483,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_21_12_2012.pdf
2012-12-28,DIESEL,1.481,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_28_12_2012.pdf
2012-10-26,DIESEL_HEATING,0.999,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_26_10_2012.pdf
2012-11-16,DIESEL_HEATING,1.139,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_16_11_2012.pdf
2012-11-23,DIESEL_HEATING,1.139,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_23_11_2012.pdf
2012-12-21,DIESEL_HEATING,1.119,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_21_12_2012.pdf
2012-12-28,DIESEL_HEATING,1.119,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_28_12_2012.pdf
2012-05-04,GAS,2.001,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_04_05_2012.pdf
2012-10-26,GAS,1.411,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_26_10_2012.pdf
2012-11-02,GAS,0.999,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_02_11_2012.pdf
2012-11-09,GAS,1.049,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_09_11_2012.pdf
2012-11-16,GAS,1.36,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_16_11_2012.pdf
2012-11-23,GAS,1.363,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_23_11_2012.pdf
2012-12-07,GAS,1.363,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_07_12_2012.pdf
2012-12-14,GAS,1.365,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_14_12_2012.pdf
2012-12-21,GAS,1.359,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_21_12_2012.pdf
2012-12-28,GAS,1.353,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_28_12_2012.pdf
2012-05-04,SUPER,1.64,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_04_05_2012.pdf
2012-10-26,SUPER,1.982,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_26_10_2012.pdf
