date,fuel_type,price,data_file
2020-01-03,DIESEL,1.374,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_03_01_2020.pdf
2020-01-10,DIESEL,1.379,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_10_01_2020.pdf
2020-01-17,DIESEL,1.371,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_17_01_2020.pdf
2020-01-24,DIESEL,1.361,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_24_01_2020.pdf
2020-01-31,DIESEL,1.342,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_31_01_2020.pdf
2020-02-07,DIESEL,1.325,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_07_02_2020.pdf
2020-02-14,DIESEL,1.315,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_14_02_2020.pdf
2020-02-21,DIESEL,1.314,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_21_02_2020.pdf
2020-02-28,DIESEL,1.311,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_28_02_2020.pdf
2020-03-06,DIESEL,1.288,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_06_03_2020.pdf
2020-03-13,DIESEL,1.239,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_13_03_2020.pdf
2020-03-20,DIESEL,1.193,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_20_03_2020.pdf
2020-03-27,DIESEL,1.172,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_27_03_2020.pdf
2020-04-03,DIESEL,1.156,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_03_04_2020.pdf
2020-04-10,DIESEL,1.144,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_10_04_2020.pdf
2020-04-17,DIESEL,1.135,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_17_04_2020.pdf
2020-04-24,DIESEL,1.113,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_24_04_2020.pdf
2020-05-01,DIESEL,1.083,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_01_05_2020.pdf
2020-05-08,DIESEL,1.078,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_08_05_2020.pdf
2020-05-15,DIESEL,1.079,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_15_05_2020.pdf
2020-05-22,DIESEL,1.091,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_22_05_2020.pdf
2020-05-29,DIESEL,1.095,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_29_05_2020.pdf
2020-06-05,DIESEL,1.098,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_05_06_2020.pdf
2020-06-12,DIESEL,1.107,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_12_06_2020.pdf
2020-06-19,DIESEL,1.111,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_19_06_2020.pdf
2020-06-26,DIESEL,1.127,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_26_06_2020.pdf
2020-07-03,DIESEL,1.129,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_03_07_2020.pdf
2020-07-10,DIESEL,1.134,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_10_07_2020.pdf
2020-07-17,DIESEL,1.133,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_17_07_2020.pdf
2020-07-24,DIESEL,1.137,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_24_07_2020.pdf
2020-08-07,DIESEL,1.134,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_07_08_2020.pdf
2020-08-14,DIESEL,1.135,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_14_08_2020.pdf
2020-08-21,DIESEL,1.137,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_21_08_2020.pdf
2020-08-28,DIESEL,1.137,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_28_08_2020.pdf
2020-09-04,DIESEL,1.133,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_04_09_2020.pdf
2020-09-11,DIESEL,1.124,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_11_09_2020.pdf
2020-09-18,DIESEL,1.11,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_18_09_2020.pdf
2020-09-25,DIESEL,1.107,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_25_09_2020.pdf
2020-10-02,DIESEL,1.109,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_02_10_2020.pdf
2020-10-09,DIESEL,1.106,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_09_10_2020.pdf
2020-10-16,DIESEL,1.107,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_16_10_2020.pdf
2020-10-23,DIESEL,1.107,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_23_10_2020.pdf
2020-10-30,DIESEL,1.1,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_30_10_2020.pdf
2020-11-06,DIESEL,1.093,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_06_11_2020.pdf
2020-11-13,DIESEL,1.101,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_13_11_2020.pdf
2020-11-20,DIESEL,1.107,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_20_11_2020.pdf
2020-11-27,DIESEL,1.112,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_27_11_2020.pdf
2020-12-04,DIESEL,1.12,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_04_12_2020.pdf
2020-12-11,DIESEL,1.125,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_11_12_2020.pdf
2020-12-18,DIESEL,1.133,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_18_12_2020.pdf
2020-12-25,DIESEL,1.136,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_25_12_2020.pdf
2020-01-03,DIESEL_HEATING,0.765,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_03_01_2020.pdf
2020-01-10,DIESEL_HEATING,0.773,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_10_01_2020.pdf
2020-01-17,DIESEL_HEATING,0.773,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_17_01_2020.pdf
2020-01-24,DIESEL_HEATING,0.774,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_24_01_2020.pdf
2020-01-31,DIESEL_HEATING,0.768,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_31_01_2020.pdf
2020-02-07,DIESEL_HEATING,0.77,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_07_02_2020.pdf
2020-02-14,DIESEL_HEATING,0.772,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_14_02_2020.pdf
2020-02-21,DIESEL_HEATING,0.778,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_21_02_2020.pdf
2020-02-28,DIESEL_HEATING,0.785,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_28_02_2020.pdf
2020-03-06,DIESEL_HEATING,0.781,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_06_03_2020.pdf
2020-03-13,DIESEL_HEATING,0.759,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_13_03_2020.pdf
2020-03-20,DIESEL_HEATING,0.729,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_20_03_2020.pdf
2020-03-27,DIESEL_HEATING,0.714,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_27_03_2020.pdf
2020-04-03,DIESEL_HEATING,0.696,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_03_04_2020.pdf
2020-04-10,DIESEL_HEATING,0.684,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_10_04_2020.pdf
2020-04-17,DIESEL_HEATING,0.683,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_17_04_2020.pdf
2020-04-24,DIESEL_HEATING,0.685,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_24_04_2020.pdf
2020-10-16,DIESEL_HEATING,0.775,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_16_10_2020.pdf
2020-10-23,DIESEL_HEATING,0.776,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_23_10_2020.pdf
2020-10-30,DIESEL_HEATING,0.772,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_30_10_2020.pdf
2020-11-20,DIESEL_HEATING,0.785,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_20_11_2020.pdf
2020-11-27,DIESEL_HEATING,0.8,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_27_11_2020.pdf
2020-12-18,DIESEL_HEATING,0.828,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_18_12_2020.pdf
2020-12-25,DIESEL_HEATING,0.834,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_25_12_2020.pdf
2020-01-03,GAS,1.068,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_03_01_2020.pdf
2020-01-10,GAS,1.071,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_10_01_2020.pdf
2020-01-17,GAS,1.058,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_17_01_2020.pdf
2020-01-24,GAS,1.045,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_24_01_2020.pdf
2020-01-31,GAS,1.021,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_31_01_2020.pdf
2020-02-07,GAS,0.999,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_07_02_2020.pdf
2020-02-14,GAS,0.991,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_14_02_2020.pdf
2020-02-21,GAS,0.991,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_21_02_2020.pdf
2020-02-28,GAS,0.989,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_28_02_2020.pdf
2020-03-06,GAS,0.964,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_06_03_2020.pdf
2020-03-13,GAS,0.911,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_13_03_2020.pdf
2020-03-20,GAS,0.868,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_20_03_2020.pdf
2020-03-27,GAS,0.838,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_27_03_2020.pdf
2020-04-03,GAS,0.82,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_03_04_2020.pdf
2020-04-10,GAS,0.81,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_10_04_2020.pdf
2020-04-17,GAS,0.799,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_17_04_2020.pdf
2020-04-24,GAS,0.764,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_24_04_2020.pdf
2020-05-01,GAS,0.744,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_01_05_2020.pdf
2020-05-08,GAS,0.742,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_08_05_2020.pdf
2020-05-15,GAS,0.741,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_15_05_2020.pdf
2020-05-22,GAS,0.755,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_22_05_2020.pdf
2020-05-29,GAS,0.763,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_29_05_2020.pdf
2020-06-05,GAS,0.662,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_05_06_2020.pdf
2020-06-12,GAS,0.667,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_12_06_2020.pdf
2020-06-19,GAS,0.665,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_19_06_2020.pdf
2020-06-26,GAS,0.672,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_26_06_2020.pdf
2020-07-03,GAS,0.676,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_03_07_2020.pdf
2020-07-10,GAS,0.68,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_10_07_2020.pdf
2020-07-17,GAS,0.681,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_17_07_2020.pdf
2020-07-24,GAS,0.679,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_24_07_2020.pdf
2020-08-07,GAS,0.675,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_07_08_2020.pdf
2020-08-14,GAS,0.663,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_14_08_2020.pdf
2020-08-21,GAS,0.67,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_21_08_2020.pdf
2020-08-28,GAS,0.67,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_28_08_2020.pdf
2020-09-04,GAS,0.664,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_04_09_2020.pdf
2020-09-11,GAS,0.658,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_11_09_2020.pdf
2020-09-18,GAS,0.654,http://www.fuelprices.gr/files/deltia/EBDOM_DELTIO_18_09_2020.pdf
